bricks_layout,ball_start_x,timestamps_to_win,gamma,start_epsilon,epsilon,max_episode_num,current_episode_num,reward_system,policy_found_in_s,brick_length
PrideRectangle_BR_1,-2,622,0.98,0.05,0.049876403,40000,100,normal,0,7
PrideRectangle_BR_1,-1,358,0.98,0.05,0.049876403,40000,100,normal,0,7
PrideRectangle_BR_1,0,1000,0.98,0.05,0.049876403,40000,100,normal,0,7
PrideRectangle_BR_1,1,538,0.98,0.05,0.049876403,40000,100,normal,0,7
PrideRectangle_BR_1,2,114,0.98,0.05,0.049876403,40000,100,normal,0,7
PrideRectangle_BR_1,-2,1000,0.98,0.05,0.04975187,40000,200,normal,0,7
PrideRectangle_BR_1,-1,126,0.98,0.05,0.04975187,40000,200,normal,0,7
PrideRectangle_BR_1,0,1000,0.98,0.05,0.04975187,40000,200,normal,0,7
PrideRectangle_BR_1,1,96,0.98,0.05,0.04975187,40000,200,normal,0,7
PrideRectangle_BR_1,2,114,0.98,0.05,0.04975187,40000,200,normal,0,7
PrideRectangle_BR_1,-2,374,0.98,0.05,0.049627643,40000,300,normal,0,7
PrideRectangle_BR_1,-1,126,0.98,0.05,0.049627643,40000,300,normal,0,7
PrideRectangle_BR_1,0,238,0.98,0.05,0.049627643,40000,300,normal,0,7
PrideRectangle_BR_1,1,96,0.98,0.05,0.049627643,40000,300,normal,0,7
PrideRectangle_BR_1,2,98,0.98,0.05,0.049627643,40000,300,normal,0,7
PrideRectangle_BR_1,-2,146,0.98,0.05,0.04950373,40000,400,normal,0,7
PrideRectangle_BR_1,-1,110,0.98,0.05,0.04950373,40000,400,normal,0,7
PrideRectangle_BR_1,0,1000,0.98,0.05,0.04950373,40000,400,normal,0,7
PrideRectangle_BR_1,1,96,0.98,0.05,0.04950373,40000,400,normal,0,7
PrideRectangle_BR_1,2,98,0.98,0.05,0.04950373,40000,400,normal,0,7
PrideRectangle_BR_1,-2,114,0.98,0.05,0.049380124,40000,500,normal,0,7
PrideRectangle_BR_1,-1,110,0.98,0.05,0.049380124,40000,500,normal,0,7
PrideRectangle_BR_1,0,1000,0.98,0.05,0.049380124,40000,500,normal,0,7
PrideRectangle_BR_1,1,96,0.98,0.05,0.049380124,40000,500,normal,0,7
PrideRectangle_BR_1,2,98,0.98,0.05,0.049380124,40000,500,normal,0,7
PrideRectangle_BR_1,-2,114,0.98,0.05,0.049256828,40000,600,normal,0,7
PrideRectangle_BR_1,-1,1000,0.98,0.05,0.049256828,40000,600,normal,0,7
PrideRectangle_BR_1,0,1000,0.98,0.05,0.049256828,40000,600,normal,0,7
PrideRectangle_BR_1,1,96,0.98,0.05,0.049256828,40000,600,normal,0,7
PrideRectangle_BR_1,2,98,0.98,0.05,0.049256828,40000,600,normal,0,7
PrideRectangle_BR_1,-2,98,0.98,0.05,0.04913384,40000,700,normal,0,7
PrideRectangle_BR_1,-1,110,0.98,0.05,0.04913384,40000,700,normal,0,7
PrideRectangle_BR_1,0,1000,0.98,0.05,0.04913384,40000,700,normal,0,7
PrideRectangle_BR_1,1,96,0.98,0.05,0.04913384,40000,700,normal,0,7
PrideRectangle_BR_1,2,98,0.98,0.05,0.04913384,40000,700,normal,0,7
PrideRectangle_BR_1,-2,98,0.98,0.05,0.04901116,40000,800,normal,0,7
PrideRectangle_BR_1,-1,110,0.98,0.05,0.04901116,40000,800,normal,0,7
PrideRectangle_BR_1,0,1000,0.98,0.05,0.04901116,40000,800,normal,0,7
PrideRectangle_BR_1,1,96,0.98,0.05,0.04901116,40000,800,normal,0,7
PrideRectangle_BR_1,2,98,0.98,0.05,0.04901116,40000,800,normal,0,7
PrideRectangle_BR_1,-2,98,0.98,0.05,0.048888784,40000,900,normal,0,7
PrideRectangle_BR_1,-1,110,0.98,0.05,0.048888784,40000,900,normal,0,7
PrideRectangle_BR_1,0,1000,0.98,0.05,0.048888784,40000,900,normal,0,7
PrideRectangle_BR_1,1,96,0.98,0.05,0.048888784,40000,900,normal,0,7
PrideRectangle_BR_1,2,98,0.98,0.05,0.048888784,40000,900,normal,0,7
PrideRectangle_BR_1,-2,98,0.98,0.05,0.048766714,40000,1000,normal,0,7
PrideRectangle_BR_1,-1,110,0.98,0.05,0.048766714,40000,1000,normal,0,7
PrideRectangle_BR_1,0,254,0.98,0.05,0.048766714,40000,1000,normal,0,7
PrideRectangle_BR_1,1,96,0.98,0.05,0.048766714,40000,1000,normal,0,7
PrideRectangle_BR_1,2,98,0.98,0.05,0.048766714,40000,1000,normal,0,7
PrideRectangle_BR_1,-2,98,0.98,0.05,0.048644952,40000,1100,normal,0,7
PrideRectangle_BR_1,-1,110,0.98,0.05,0.048644952,40000,1100,normal,0,7
PrideRectangle_BR_1,0,130,0.98,0.05,0.048644952,40000,1100,normal,0,7
PrideRectangle_BR_1,1,96,0.98,0.05,0.048644952,40000,1100,normal,0,7
PrideRectangle_BR_1,2,98,0.98,0.05,0.048644952,40000,1100,normal,0,7
PrideRectangle_BR_1,-2,98,0.98,0.05,0.04852349,40000,1200,normal,0,7
PrideRectangle_BR_1,-1,110,0.98,0.05,0.04852349,40000,1200,normal,0,7
PrideRectangle_BR_1,0,130,0.98,0.05,0.04852349,40000,1200,normal,0,7
PrideRectangle_BR_1,1,96,0.98,0.05,0.04852349,40000,1200,normal,0,7
PrideRectangle_BR_1,2,98,0.98,0.05,0.04852349,40000,1200,normal,0,7
PrideRectangle_BR_1,-2,98,0.98,0.05,0.048402335,40000,1300,normal,0,7
PrideRectangle_BR_1,-1,110,0.98,0.05,0.048402335,40000,1300,normal,0,7
PrideRectangle_BR_1,0,130,0.98,0.05,0.048402335,40000,1300,normal,0,7
PrideRectangle_BR_1,1,96,0.98,0.05,0.048402335,40000,1300,normal,0,7
PrideRectangle_BR_1,2,98,0.98,0.05,0.048402335,40000,1300,normal,0,7
