bricks_layout,ball_start_x,timestamps_to_win,gamma,start_epsilon,epsilon,max_episode_num,current_episode_num,reward_system,policy_found_in_s,brick_length
RainbowStaircase,2,162,0.98,0.01,0.0036788862,40000,40000,normal,35,16
RainbowStaircase,2,95,0.98,0.03,0.011036659,40000,40000,normal,40,16
RainbowStaircase,2,1000,0.98,0.05,0.018394431,40000,40000,normal,52,16
RainbowStaircase,2,127,0.98,0.1,0.036788862,40000,40000,normal,68,16
RainbowStaircase,2,1000,0.98,0.3,0.11036659,40000,40000,normal,144,16
