bricks_layout,ball_start_x,timestamps_to_win,gamma,start_epsilon,epsilon,max_episode_num,current_episode_num,reward_system,policy_found_in_s,brick_length
PrideRectangle_BR_1,-2,1000,0.98,0.1,0.099752806,40000,100,normal,0,7
PrideRectangle_BR_1,-1,1000,0.98,0.1,0.099752806,40000,100,normal,0,7
PrideRectangle_BR_1,0,1000,0.98,0.1,0.099752806,40000,100,normal,0,7
PrideRectangle_BR_1,1,1000,0.98,0.1,0.099752806,40000,100,normal,0,7
PrideRectangle_BR_1,2,1000,0.98,0.1,0.099752806,40000,100,normal,0,7
PrideRectangle_BR_1,-2,277,0.98,0.1,0.09950374,40000,200,normal,0,7
PrideRectangle_BR_1,-1,282,0.98,0.1,0.09950374,40000,200,normal,0,7
PrideRectangle_BR_1,0,1000,0.98,0.1,0.09950374,40000,200,normal,0,7
PrideRectangle_BR_1,1,130,0.98,0.1,0.09950374,40000,200,normal,0,7
PrideRectangle_BR_1,2,97,0.98,0.1,0.09950374,40000,200,normal,0,7
PrideRectangle_BR_1,-2,93,0.98,0.1,0.099255286,40000,300,normal,0,7
PrideRectangle_BR_1,-1,221,0.98,0.1,0.099255286,40000,300,normal,0,7
PrideRectangle_BR_1,0,1000,0.98,0.1,0.099255286,40000,300,normal,0,7
PrideRectangle_BR_1,1,130,0.98,0.1,0.099255286,40000,300,normal,0,7
PrideRectangle_BR_1,2,97,0.98,0.1,0.099255286,40000,300,normal,0,7
PrideRectangle_BR_1,-2,93,0.98,0.1,0.09900746,40000,400,normal,0,7
PrideRectangle_BR_1,-1,1000,0.98,0.1,0.09900746,40000,400,normal,0,7
PrideRectangle_BR_1,0,1000,0.98,0.1,0.09900746,40000,400,normal,0,7
PrideRectangle_BR_1,1,130,0.98,0.1,0.09900746,40000,400,normal,0,7
PrideRectangle_BR_1,2,97,0.98,0.1,0.09900746,40000,400,normal,0,7
PrideRectangle_BR_1,-2,93,0.98,0.1,0.09876025,40000,500,normal,0,7
PrideRectangle_BR_1,-1,1000,0.98,0.1,0.09876025,40000,500,normal,0,7
PrideRectangle_BR_1,0,1000,0.98,0.1,0.09876025,40000,500,normal,0,7
PrideRectangle_BR_1,1,130,0.98,0.1,0.09876025,40000,500,normal,0,7
PrideRectangle_BR_1,2,97,0.98,0.1,0.09876025,40000,500,normal,0,7
PrideRectangle_BR_1,-2,93,0.98,0.1,0.098513655,40000,600,normal,0,7
PrideRectangle_BR_1,-1,94,0.98,0.1,0.098513655,40000,600,normal,0,7
PrideRectangle_BR_1,0,400,0.98,0.1,0.098513655,40000,600,normal,0,7
PrideRectangle_BR_1,1,130,0.98,0.1,0.098513655,40000,600,normal,0,7
PrideRectangle_BR_1,2,97,0.98,0.1,0.098513655,40000,600,normal,0,7
PrideRectangle_BR_1,-2,93,0.98,0.1,0.09826768,40000,700,normal,0,7
PrideRectangle_BR_1,-1,94,0.98,0.1,0.09826768,40000,700,normal,0,7
PrideRectangle_BR_1,0,1000,0.98,0.1,0.09826768,40000,700,normal,0,7
PrideRectangle_BR_1,1,130,0.98,0.1,0.09826768,40000,700,normal,0,7
PrideRectangle_BR_1,2,97,0.98,0.1,0.09826768,40000,700,normal,0,7
PrideRectangle_BR_1,-2,93,0.98,0.1,0.09802232,40000,800,normal,0,7
PrideRectangle_BR_1,-1,94,0.98,0.1,0.09802232,40000,800,normal,0,7
PrideRectangle_BR_1,0,1000,0.98,0.1,0.09802232,40000,800,normal,0,7
PrideRectangle_BR_1,1,130,0.98,0.1,0.09802232,40000,800,normal,0,7
PrideRectangle_BR_1,2,97,0.98,0.1,0.09802232,40000,800,normal,0,7
PrideRectangle_BR_1,-2,93,0.98,0.1,0.09777757,40000,900,normal,0,7
PrideRectangle_BR_1,-1,94,0.98,0.1,0.09777757,40000,900,normal,0,7
PrideRectangle_BR_1,0,1000,0.98,0.1,0.09777757,40000,900,normal,0,7
PrideRectangle_BR_1,1,130,0.98,0.1,0.09777757,40000,900,normal,0,7
PrideRectangle_BR_1,2,97,0.98,0.1,0.09777757,40000,900,normal,0,7
PrideRectangle_BR_1,-2,93,0.98,0.1,0.09753343,40000,1000,normal,0,7
PrideRectangle_BR_1,-1,94,0.98,0.1,0.09753343,40000,1000,normal,0,7
PrideRectangle_BR_1,0,1000,0.98,0.1,0.09753343,40000,1000,normal,0,7
PrideRectangle_BR_1,1,130,0.98,0.1,0.09753343,40000,1000,normal,0,7
PrideRectangle_BR_1,2,97,0.98,0.1,0.09753343,40000,1000,normal,0,7
PrideRectangle_BR_1,-2,93,0.98,0.1,0.097289905,40000,1100,normal,0,7
PrideRectangle_BR_1,-1,94,0.98,0.1,0.097289905,40000,1100,normal,0,7
PrideRectangle_BR_1,0,1000,0.98,0.1,0.097289905,40000,1100,normal,0,7
PrideRectangle_BR_1,1,130,0.98,0.1,0.097289905,40000,1100,normal,0,7
PrideRectangle_BR_1,2,97,0.98,0.1,0.097289905,40000,1100,normal,0,7
PrideRectangle_BR_1,-2,93,0.98,0.1,0.09704698,40000,1200,normal,0,7
PrideRectangle_BR_1,-1,94,0.98,0.1,0.09704698,40000,1200,normal,0,7
PrideRectangle_BR_1,0,1000,0.98,0.1,0.09704698,40000,1200,normal,0,7
PrideRectangle_BR_1,1,130,0.98,0.1,0.09704698,40000,1200,normal,0,7
PrideRectangle_BR_1,2,97,0.98,0.1,0.09704698,40000,1200,normal,0,7
PrideRectangle_BR_1,-2,93,0.98,0.1,0.09680467,40000,1300,normal,0,7
PrideRectangle_BR_1,-1,94,0.98,0.1,0.09680467,40000,1300,normal,0,7
PrideRectangle_BR_1,0,1000,0.98,0.1,0.09680467,40000,1300,normal,0,7
PrideRectangle_BR_1,1,130,0.98,0.1,0.09680467,40000,1300,normal,0,7
PrideRectangle_BR_1,2,97,0.98,0.1,0.09680467,40000,1300,normal,0,7
PrideRectangle_BR_1,-2,93,0.98,0.1,0.09656296,40000,1400,normal,0,7
PrideRectangle_BR_1,-1,94,0.98,0.1,0.09656296,40000,1400,normal,0,7
PrideRectangle_BR_1,0,1000,0.98,0.1,0.09656296,40000,1400,normal,0,7
PrideRectangle_BR_1,1,130,0.98,0.1,0.09656296,40000,1400,normal,0,7
PrideRectangle_BR_1,2,97,0.98,0.1,0.09656296,40000,1400,normal,0,7
PrideRectangle_BR_1,-2,93,0.98,0.1,0.09632185,40000,1500,normal,0,7
PrideRectangle_BR_1,-1,266,0.98,0.1,0.09632185,40000,1500,normal,0,7
PrideRectangle_BR_1,0,1000,0.98,0.1,0.09632185,40000,1500,normal,0,7
PrideRectangle_BR_1,1,130,0.98,0.1,0.09632185,40000,1500,normal,0,7
PrideRectangle_BR_1,2,97,0.98,0.1,0.09632185,40000,1500,normal,0,7
PrideRectangle_BR_1,-2,93,0.98,0.1,0.096081346,40000,1600,normal,0,7
PrideRectangle_BR_1,-1,94,0.98,0.1,0.096081346,40000,1600,normal,0,7
PrideRectangle_BR_1,0,1000,0.98,0.1,0.096081346,40000,1600,normal,0,7
PrideRectangle_BR_1,1,130,0.98,0.1,0.096081346,40000,1600,normal,0,7
PrideRectangle_BR_1,2,97,0.98,0.1,0.096081346,40000,1600,normal,0,7
PrideRectangle_BR_1,-2,93,0.98,0.1,0.095841445,40000,1700,normal,0,7
PrideRectangle_BR_1,-1,94,0.98,0.1,0.095841445,40000,1700,normal,0,7
PrideRectangle_BR_1,0,1000,0.98,0.1,0.095841445,40000,1700,normal,0,7
PrideRectangle_BR_1,1,130,0.98,0.1,0.095841445,40000,1700,normal,0,7
PrideRectangle_BR_1,2,97,0.98,0.1,0.095841445,40000,1700,normal,0,7
PrideRectangle_BR_1,-2,93,0.98,0.1,0.09560214,40000,1800,normal,0,7
PrideRectangle_BR_1,-1,94,0.98,0.1,0.09560214,40000,1800,normal,0,7
PrideRectangle_BR_1,0,1000,0.98,0.1,0.09560214,40000,1800,normal,0,7
PrideRectangle_BR_1,1,130,0.98,0.1,0.09560214,40000,1800,normal,0,7
PrideRectangle_BR_1,2,97,0.98,0.1,0.09560214,40000,1800,normal,0,7
PrideRectangle_BR_1,-2,93,0.98,0.1,0.09536343,40000,1900,normal,0,7
PrideRectangle_BR_1,-1,94,0.98,0.1,0.09536343,40000,1900,normal,0,7
PrideRectangle_BR_1,0,1000,0.98,0.1,0.09536343,40000,1900,normal,0,7
PrideRectangle_BR_1,1,130,0.98,0.1,0.09536343,40000,1900,normal,0,7
PrideRectangle_BR_1,2,97,0.98,0.1,0.09536343,40000,1900,normal,0,7
PrideRectangle_BR_1,-2,93,0.98,0.1,0.09512532,40000,2000,normal,0,7
PrideRectangle_BR_1,-1,94,0.98,0.1,0.09512532,40000,2000,normal,0,7
PrideRectangle_BR_1,0,1000,0.98,0.1,0.09512532,40000,2000,normal,0,7
PrideRectangle_BR_1,1,130,0.98,0.1,0.09512532,40000,2000,normal,0,7
PrideRectangle_BR_1,2,97,0.98,0.1,0.09512532,40000,2000,normal,0,7
PrideRectangle_BR_1,-2,93,0.98,0.1,0.09488781,40000,2100,normal,0,7
PrideRectangle_BR_1,-1,94,0.98,0.1,0.09488781,40000,2100,normal,0,7
PrideRectangle_BR_1,0,1000,0.98,0.1,0.09488781,40000,2100,normal,0,7
PrideRectangle_BR_1,1,130,0.98,0.1,0.09488781,40000,2100,normal,0,7
PrideRectangle_BR_1,2,97,0.98,0.1,0.09488781,40000,2100,normal,0,7
PrideRectangle_BR_1,-2,93,0.98,0.1,0.09465089,40000,2200,normal,0,7
PrideRectangle_BR_1,-1,94,0.98,0.1,0.09465089,40000,2200,normal,0,7
PrideRectangle_BR_1,0,1000,0.98,0.1,0.09465089,40000,2200,normal,0,7
PrideRectangle_BR_1,1,130,0.98,0.1,0.09465089,40000,2200,normal,0,7
PrideRectangle_BR_1,2,97,0.98,0.1,0.09465089,40000,2200,normal,0,7
PrideRectangle_BR_1,-2,93,0.98,0.1,0.094414555,40000,2300,normal,0,7
PrideRectangle_BR_1,-1,94,0.98,0.1,0.094414555,40000,2300,normal,0,7
PrideRectangle_BR_1,0,97,0.98,0.1,0.094414555,40000,2300,normal,0,7
PrideRectangle_BR_1,1,130,0.98,0.1,0.094414555,40000,2300,normal,0,7
PrideRectangle_BR_1,2,97,0.98,0.1,0.094414555,40000,2300,normal,0,7
PrideRectangle_BR_1,-2,93,0.98,0.1,0.09417881,40000,2400,normal,0,7
PrideRectangle_BR_1,-1,94,0.98,0.1,0.09417881,40000,2400,normal,0,7
PrideRectangle_BR_1,0,97,0.98,0.1,0.09417881,40000,2400,normal,0,7
PrideRectangle_BR_1,1,130,0.98,0.1,0.09417881,40000,2400,normal,0,7
PrideRectangle_BR_1,2,97,0.98,0.1,0.09417881,40000,2400,normal,0,7
PrideRectangle_BR_1,-2,93,0.98,0.1,0.093943655,40000,2500,normal,0,7
PrideRectangle_BR_1,-1,94,0.98,0.1,0.093943655,40000,2500,normal,0,7
PrideRectangle_BR_1,0,113,0.98,0.1,0.093943655,40000,2500,normal,0,7
PrideRectangle_BR_1,1,130,0.98,0.1,0.093943655,40000,2500,normal,0,7
PrideRectangle_BR_1,2,97,0.98,0.1,0.093943655,40000,2500,normal,0,7
PrideRectangle_BR_1,-2,93,0.98,0.1,0.09370909,40000,2600,normal,0,7
PrideRectangle_BR_1,-1,94,0.98,0.1,0.09370909,40000,2600,normal,0,7
PrideRectangle_BR_1,0,97,0.98,0.1,0.09370909,40000,2600,normal,0,7
PrideRectangle_BR_1,1,130,0.98,0.1,0.09370909,40000,2600,normal,0,7
PrideRectangle_BR_1,2,97,0.98,0.1,0.09370909,40000,2600,normal,0,7
PrideRectangle_BR_1,-2,93,0.98,0.1,0.09347511,40000,2700,normal,0,7
PrideRectangle_BR_1,-1,94,0.98,0.1,0.09347511,40000,2700,normal,0,7
PrideRectangle_BR_1,0,97,0.98,0.1,0.09347511,40000,2700,normal,0,7
PrideRectangle_BR_1,1,130,0.98,0.1,0.09347511,40000,2700,normal,0,7
PrideRectangle_BR_1,2,97,0.98,0.1,0.09347511,40000,2700,normal,0,7
PrideRectangle_BR_1,-2,93,0.98,0.1,0.093241714,40000,2800,normal,0,7
PrideRectangle_BR_1,-1,94,0.98,0.1,0.093241714,40000,2800,normal,0,7
PrideRectangle_BR_1,0,97,0.98,0.1,0.093241714,40000,2800,normal,0,7
PrideRectangle_BR_1,1,130,0.98,0.1,0.093241714,40000,2800,normal,0,7
PrideRectangle_BR_1,2,97,0.98,0.1,0.093241714,40000,2800,normal,0,7
PrideRectangle_BR_1,-2,93,0.98,0.1,0.0930089,40000,2900,normal,0,7
PrideRectangle_BR_1,-1,94,0.98,0.1,0.0930089,40000,2900,normal,0,7
PrideRectangle_BR_1,0,96,0.98,0.1,0.0930089,40000,2900,normal,0,7
PrideRectangle_BR_1,1,130,0.98,0.1,0.0930089,40000,2900,normal,0,7
PrideRectangle_BR_1,2,97,0.98,0.1,0.0930089,40000,2900,normal,0,7
PrideRectangle_BR_1,-2,93,0.98,0.1,0.09277667,40000,3000,normal,0,7
PrideRectangle_BR_1,-1,94,0.98,0.1,0.09277667,40000,3000,normal,0,7
PrideRectangle_BR_1,0,96,0.98,0.1,0.09277667,40000,3000,normal,0,7
PrideRectangle_BR_1,1,130,0.98,0.1,0.09277667,40000,3000,normal,0,7
PrideRectangle_BR_1,2,97,0.98,0.1,0.09277667,40000,3000,normal,0,7
PrideRectangle_BR_1,-2,93,0.98,0.1,0.09254502,40000,3100,normal,0,7
PrideRectangle_BR_1,-1,94,0.98,0.1,0.09254502,40000,3100,normal,0,7
PrideRectangle_BR_1,0,96,0.98,0.1,0.09254502,40000,3100,normal,0,7
PrideRectangle_BR_1,1,130,0.98,0.1,0.09254502,40000,3100,normal,0,7
PrideRectangle_BR_1,2,97,0.98,0.1,0.09254502,40000,3100,normal,0,7
PrideRectangle_BR_1,-2,93,0.98,0.1,0.092313945,40000,3200,normal,0,7
PrideRectangle_BR_1,-1,94,0.98,0.1,0.092313945,40000,3200,normal,0,7
PrideRectangle_BR_1,0,96,0.98,0.1,0.092313945,40000,3200,normal,0,7
PrideRectangle_BR_1,1,130,0.98,0.1,0.092313945,40000,3200,normal,0,7
PrideRectangle_BR_1,2,97,0.98,0.1,0.092313945,40000,3200,normal,0,7
PrideRectangle_BR_1,-2,93,0.98,0.1,0.09208345,40000,3300,normal,0,7
PrideRectangle_BR_1,-1,94,0.98,0.1,0.09208345,40000,3300,normal,0,7
PrideRectangle_BR_1,0,96,0.98,0.1,0.09208345,40000,3300,normal,0,7
PrideRectangle_BR_1,1,130,0.98,0.1,0.09208345,40000,3300,normal,0,7
PrideRectangle_BR_1,2,97,0.98,0.1,0.09208345,40000,3300,normal,0,7
PrideRectangle_BR_1,-2,93,0.98,0.1,0.09185352,40000,3400,normal,0,7
PrideRectangle_BR_1,-1,94,0.98,0.1,0.09185352,40000,3400,normal,0,7
PrideRectangle_BR_1,0,96,0.98,0.1,0.09185352,40000,3400,normal,0,7
PrideRectangle_BR_1,1,130,0.98,0.1,0.09185352,40000,3400,normal,0,7
PrideRectangle_BR_1,2,97,0.98,0.1,0.09185352,40000,3400,normal,0,7
PrideRectangle_BR_1,-2,93,0.98,0.1,0.09162418,40000,3500,normal,0,7
PrideRectangle_BR_1,-1,94,0.98,0.1,0.09162418,40000,3500,normal,0,7
PrideRectangle_BR_1,0,96,0.98,0.1,0.09162418,40000,3500,normal,0,7
PrideRectangle_BR_1,1,130,0.98,0.1,0.09162418,40000,3500,normal,0,7
PrideRectangle_BR_1,2,97,0.98,0.1,0.09162418,40000,3500,normal,0,7
PrideRectangle_BR_1,-2,93,0.98,0.1,0.0913954,40000,3600,normal,0,7
PrideRectangle_BR_1,-1,94,0.98,0.1,0.0913954,40000,3600,normal,0,7
PrideRectangle_BR_1,0,96,0.98,0.1,0.0913954,40000,3600,normal,0,7
PrideRectangle_BR_1,1,130,0.98,0.1,0.0913954,40000,3600,normal,0,7
PrideRectangle_BR_1,2,97,0.98,0.1,0.0913954,40000,3600,normal,0,7
PrideRectangle_BR_1,-2,93,0.98,0.1,0.091167204,40000,3700,normal,0,7
PrideRectangle_BR_1,-1,94,0.98,0.1,0.091167204,40000,3700,normal,0,7
PrideRectangle_BR_1,0,96,0.98,0.1,0.091167204,40000,3700,normal,0,7
PrideRectangle_BR_1,1,130,0.98,0.1,0.091167204,40000,3700,normal,0,7
PrideRectangle_BR_1,2,97,0.98,0.1,0.091167204,40000,3700,normal,0,7
PrideRectangle_BR_1,-2,93,0.98,0.1,0.090939574,40000,3800,normal,0,7
PrideRectangle_BR_1,-1,94,0.98,0.1,0.090939574,40000,3800,normal,0,7
PrideRectangle_BR_1,0,96,0.98,0.1,0.090939574,40000,3800,normal,0,7
PrideRectangle_BR_1,1,130,0.98,0.1,0.090939574,40000,3800,normal,0,7
PrideRectangle_BR_1,2,97,0.98,0.1,0.090939574,40000,3800,normal,0,7
PrideRectangle_BR_1,-2,93,0.98,0.1,0.0907125,40000,3900,normal,0,7
PrideRectangle_BR_1,-1,94,0.98,0.1,0.0907125,40000,3900,normal,0,7
PrideRectangle_BR_1,0,96,0.98,0.1,0.0907125,40000,3900,normal,0,7
PrideRectangle_BR_1,1,130,0.98,0.1,0.0907125,40000,3900,normal,0,7
PrideRectangle_BR_1,2,97,0.98,0.1,0.0907125,40000,3900,normal,0,7
PrideRectangle_BR_1,-2,93,0.98,0.1,0.090486005,40000,4000,normal,0,7
PrideRectangle_BR_1,-1,94,0.98,0.1,0.090486005,40000,4000,normal,0,7
PrideRectangle_BR_1,0,96,0.98,0.1,0.090486005,40000,4000,normal,0,7
PrideRectangle_BR_1,1,130,0.98,0.1,0.090486005,40000,4000,normal,0,7
PrideRectangle_BR_1,2,97,0.98,0.1,0.090486005,40000,4000,normal,0,7
PrideRectangle_BR_1,-2,93,0.98,0.1,0.09026007,40000,4100,normal,0,7
PrideRectangle_BR_1,-1,94,0.98,0.1,0.09026007,40000,4100,normal,0,7
PrideRectangle_BR_1,0,96,0.98,0.1,0.09026007,40000,4100,normal,0,7
PrideRectangle_BR_1,1,130,0.98,0.1,0.09026007,40000,4100,normal,0,7
PrideRectangle_BR_1,2,97,0.98,0.1,0.09026007,40000,4100,normal,0,7
PrideRectangle_BR_1,-2,93,0.98,0.1,0.09003471,40000,4200,normal,0,7
PrideRectangle_BR_1,-1,94,0.98,0.1,0.09003471,40000,4200,normal,0,7
PrideRectangle_BR_1,0,96,0.98,0.1,0.09003471,40000,4200,normal,0,7
PrideRectangle_BR_1,1,130,0.98,0.1,0.09003471,40000,4200,normal,0,7
PrideRectangle_BR_1,2,97,0.98,0.1,0.09003471,40000,4200,normal,0,7
PrideRectangle_BR_1,-2,93,0.98,0.1,0.0898099,40000,4300,normal,0,7
PrideRectangle_BR_1,-1,94,0.98,0.1,0.0898099,40000,4300,normal,0,7
PrideRectangle_BR_1,0,96,0.98,0.1,0.0898099,40000,4300,normal,0,7
