bricks_layout,ball_start_x,timestamps_to_win,gamma,start_epsilon,epsilon,max_episode_num,current_episode_num,reward_system,policy_found_in_s,brick_length
PrideRectangle_BR_1,2,110,0.98,0.01,0.0036788862,40000,40000,normal,16,7
PrideRectangle_BR_1,2,98,0.98,0.03,0.011036659,40000,40000,normal,17,7
PrideRectangle_BR_1,2,98,0.98,0.05,0.018394431,40000,40000,normal,17,7
PrideRectangle_BR_1,2,97,0.98,0.1,0.036788862,40000,40000,normal,21,7
PrideRectangle_BR_1,2,98,0.98,0.3,0.11036659,40000,40000,normal,62,7
