model,test_score_mean,test_score_std,fit_time_mean,fit_time_std,score_time_mean,score_time_std,parameter_num,hidden_layer_sizes,activation_function,learning_rate,num_iter
"MLP-sigmoid-0.01-(16, 8, 8)",0.6445292239374047,0.03682264905437428,48.2458634853363,7.7794904960206095,0.016937446594238282,0.0021090524454819392,3055,"(16, 8, 8)",sigmoid,0.01,26.6
"MLP-sigmoid-0.01-(64, 32, 32)",0.7152690359286504,0.012124447028087678,57.15469193458557,8.047411921008264,0.019276809692382813,0.001968778441984996,14503,"(64, 32, 32)",sigmoid,0.01,20.8
"MLP-sigmoid-0.1-(5,)",0.4655878836863625,0.029604283732409382,42.86520137786865,11.277538668755033,0.01771230697631836,0.004390243106313295,912,"(5,)",sigmoid,0.1,40.8
"MLP-sigmoid-0.1-(32,)",0.5515475858560593,0.014993298643568747,35.12134237289429,6.3531763772687215,0.017669057846069335,0.004548360899349972,5799,"(32,)",sigmoid,0.1,27.0
"MLP-sigmoid-0.1-(16, 16)",0.5116271494114734,0.03525495415108654,53.483966207504274,24.13293131313471,0.020479679107666016,0.005515844563690614,3175,"(16, 16)",sigmoid,0.1,35.8
"MLP-sigmoid-0.1-(10, 5, 5)",0.49045614368239343,0.02330808573355921,51.36913595199585,6.373951041401577,0.015095186233520509,0.0012774177464678067,1867,"(10, 5, 5)",sigmoid,0.1,26.8
"MLP-sigmoid-0.1-(16, 8, 8)",0.47524761286304945,0.042141224172908665,42.66373581886292,10.462118208319433,0.015104913711547851,0.0010566617026234446,3055,"(16, 8, 8)",sigmoid,0.1,24.0
"MLP-sigmoid-0.1-(64, 32, 32)",0.06390364011171103,3.443195367938134e-05,29.394689750671386,1.988912769349489,0.017920780181884765,0.0014510411975722577,14503,"(64, 32, 32)",sigmoid,0.1,11.0
"MLP-sigmoid-0.5-(5,)",0.3073147159190242,0.04724333197292527,20.809323596954346,3.22843282269468,0.018157768249511718,0.0052111619296744665,912,"(5,)",sigmoid,0.5,19.4
"MLP-sigmoid-0.5-(32,)",0.3962629103569779,0.021200648092778853,47.64947190284729,16.72856204196923,0.01920914649963379,0.008419914413496443,5799,"(32,)",sigmoid,0.5,34.2
"MLP-sigmoid-0.5-(16, 16)",0.09892866184618528,0.0415961860005291,34.70319156646728,8.168717282140873,0.02018084526062012,0.00785345587136968,3175,"(16, 16)",sigmoid,0.5,18.8
"MLP-sigmoid-0.5-(10, 5, 5)",0.06390364011171103,3.443195367938134e-05,19.741083478927614,2.833805037566826,0.014227867126464844,0.0010777404314215513,1867,"(10, 5, 5)",sigmoid,0.5,11.0
"MLP-sigmoid-0.5-(16, 8, 8)",0.06390364011171103,3.443195367938134e-05,21.18149666786194,1.4377251782999076,0.01846790313720703,0.005023880679108886,3055,"(16, 8, 8)",sigmoid,0.5,11.0
"MLP-sigmoid-0.5-(64, 32, 32)",0.06390364011171103,3.443195367938134e-05,80.06744298934936,94.9836601248382,0.026700925827026368,0.007477904403696035,14503,"(64, 32, 32)",sigmoid,0.5,36.4
