model,test_score_mean,test_score_std,fit_time_mean,fit_time_std,score_time_mean,score_time_std,parameter_num,hidden_layer_sizes,activation_function,learning_rate,num_iter
"MLP-sigmoid-0.1-(32,)",0.48436955764541967,0.12172820263410702,0.6545084476470947,0.2676183705023298,0.0035447120666503907,0.0006207744719899114,738.0,"(32,)",sigmoid,0.1,31.6
"MLP-sigmoid-0.1-(16, 16)",0.485216831099184,0.1214926672956228,0.9253937244415283,0.278448889077933,0.0035860538482666016,0.0004747133882178384,642.0,"(16, 16)",sigmoid,0.1,31.6
"MLP-sigmoid-0.1-(10, 5, 5)",0.4620435152942893,0.08631826149232896,1.1653018951416017,0.5731822817787284,0.00424342155456543,0.0017033709115535105,307.0,"(10, 5, 5)",sigmoid,0.1,33.6
"MLP-sigmoid-0.1-(16, 8, 8)",0.42215849452691556,0.04066248329136706,1.0903759479522706,0.3358208226424341,0.0038436412811279296,0.0007563634923293488,562.0,"(16, 8, 8)",sigmoid,0.1,30.6
"MLP-sigmoid-0.1-(64, 32, 32)",0.46799431009957326,0.006968676366381759,0.5493314743041993,0.029361118044702997,0.003387594223022461,0.0006177396693249544,4546.0,"(64, 32, 32)",sigmoid,0.1,11.0
"MLP-sigmoid-0.5-(5,)",0.44810114906177523,0.06237949602356778,0.42276639938354493,0.09341737829891643,0.003651285171508789,0.001092489860115261,117.0,"(5,)",sigmoid,0.5,21.4
"MLP-sigmoid-0.5-(32,)",0.4588078364288042,0.11208223505747729,0.5650344848632812,0.22662416248215803,0.0034328460693359374,0.00045025144078641066,738.0,"(32,)",sigmoid,0.5,26.2
"MLP-sigmoid-0.5-(16, 16)",0.4924766872135293,0.126416826118449,0.725609016418457,0.38141567458135905,0.003567934036254883,0.00045513136330316035,642.0,"(16, 16)",sigmoid,0.5,25.8
"MLP-sigmoid-0.5-(10, 5, 5)",0.46799431009957326,0.006968676366381759,0.5262918472290039,0.056610139023373245,0.003307485580444336,0.0004499713604903535,307.0,"(10, 5, 5)",sigmoid,0.5,11.0
"MLP-sigmoid-0.5-(16, 8, 8)",0.46799431009957326,0.006968676366381759,0.414198637008667,0.05586452245896243,0.004065370559692383,0.0010336996696851217,562.0,"(16, 8, 8)",sigmoid,0.5,11.0
"MLP-sigmoid-0.5-(64, 32, 32)",0.46799431009957326,0.006968676366381759,1.2534599304199219,1.5010662695185044,0.0036516189575195312,0.0005902588427350293,4546.0,"(64, 32, 32)",sigmoid,0.5,34.2
